Name,Season,Age,AVG,HR,RBI,WAR,wRC+,Hard%
Jorge Mateo,2025,30,0.18,1,3,-0.4,41,0.289
Alex Bregman,2023,29,0.262,25,98,4.4,125,0.335
Alex Bregman,2024,30,0.26,26,75,4.1,117,0.299
Alex Bregman,2025,31,0.298,14,44,2.6,150,0.377
Eugenio Suarez,2023,31,0.232,22,96,3.5,105,0.36700000000000005
Eugenio Suarez,2024,32,0.256,30,101,3.8,115,0.365
Eugenio Suarez,2025,33,0.248,36,87,3.2,143,0.38
Max Muncy,2023,32,0.212,36,105,2.5,116,0.376
Max Muncy,2024,33,0.232,15,48,2.3,133,0.331
Max Muncy,2025,34,0.25,13,55,2.2,135,0.354
Gio Urshela,2023,31,0.299,2,24,0.5,93,0.254
Gio Urshela,2024,32,0.25,9,52,0.7,81,0.244
Gio Urshela,2025,33,0.232,0,17,-0.2,70,0.304
Josh Rojas,2023,29,0.245,4,40,1.0,78,0.264
Josh Rojas,2024,30,0.225,8,31,1.9,92,0.3
Josh Rojas,2025,31,0.174,1,10,-1.2,37,0.242
Jon Berti,2023,33,0.294,7,33,2.2,101,0.282
Jon Berti,2024,34,0.273,1,6,0.3,96,0.245
Jon Berti,2025,35,0.212,0,2,-0.3,44,0.256
Bo Bichette,2023,25,0.306,20,73,3.9,123,0.36
Bo Bichette,2024,26,0.225,4,31,0.3,70,0.305
Bo Bichette,2025,27,0.291,13,67,2.4,116,0.37
Trevor Story,2023,30,0.203,3,14,0.3,49,0.32
Trevor Story,2024,31,0.255,2,10,0.7,103,0.213
Trevor Story,2025,32,0.25,17,65,1.7,90,0.35
Orlando Arcia,2023,28,0.264,17,65,2.4,100,0.316
Orlando Arcia,2024,29,0.218,17,46,0.8,73,0.313
Orlando Arcia,2025,30,0.179,2,6,-1.0,19,0.23399999999999999
Miguel Rojas,2023,34,0.236,5,31,0.6,67,0.282
Miguel Rojas,2024,35,0.283,6,36,2.8,110,0.22399999999999998
Miguel Rojas,2025,36,0.25,6,14,0.9,105,0.255
Isiah Kiner-Falefa,2023,28,0.242,6,37,0.6,80,0.273
Isiah Kiner-Falefa,2024,29,0.269,8,43,2.0,92,0.26
Isiah Kiner-Falefa,2025,30,0.265,1,26,0.5,77,0.18100000000000002
Amed Rosario,2023,27,0.263,6,58,0.4,87,0.292
Amed Rosario,2024,28,0.28,3,32,0.2,96,0.25
Amed Rosario,2025,29,0.275,5,18,0.3,107,0.359
Paul DeJong,2023,29,0.207,14,38,0.5,65,0.304
Paul DeJong,2024,30,0.227,24,56,1.8,95,0.332
Paul DeJong,2025,31,0.23,1,8,0.2,76,0.375
Kyle Tucker,2023,26,0.284,29,112,4.9,139,0.38799999999999996
Kyle Tucker,2024,27,0.289,23,49,4.2,179,0.34700000000000003
Kyle Tucker,2025,28,0.276,18,61,4.4,148,0.32899999999999996
Kyle Schwarber,2023,30,0.197,47,104,0.9,118,0.391
Kyle Schwarber,2024,31,0.248,38,104,3.3,134,0.44299999999999995
Kyle Schwarber,2025,32,0.253,37,86,3.6,162,0.43200000000000005
Cody Bellinger,2023,27,0.307,26,97,4.4,135,0.292
Cody Bellinger,2024,28,0.266,18,78,2.1,108,0.273
Cody Bellinger,2025,29,0.283,20,63,3.5,133,0.287
Luis Robert Jr.,2023,25,0.264,38,80,4.9,129,0.335
Luis Robert Jr.,2024,26,0.224,14,35,0.5,84,0.303
Luis Robert Jr.,2025,27,0.213,11,43,0.8,81,0.312
Tyler O'Neill,2023,28,0.231,9,21,0.7,97,0.363
Tyler O'Neill,2024,29,0.241,31,61,2.5,132,0.34600000000000003
Tyler O'Neill,2025,30,0.216,7,21,0.1,101,0.39399999999999996
Cedric Mullins,2023,28,0.233,15,74,1.8,97,0.3
Cedric Mullins,2024,29,0.234,18,54,2.2,103,0.249
Cedric Mullins,2025,30,0.229,15,49,1.2,104,0.29100000000000004
Michael Conforto,2023,30,0.239,15,58,0.8,99,0.327
Michael Conforto,2024,31,0.237,20,66,1.3,112,0.36200000000000004
Michael Conforto,2025,32,0.196,9,24,-0.2,88,0.341
Mike Yastrzemski,2023,32,0.233,15,43,1.7,111,0.33799999999999997
Mike Yastrzemski,2024,33,0.231,18,57,1.7,107,0.337
Mike Yastrzemski,2025,34,0.231,8,28,1.1,97,0.273
Chris Taylor,2023,32,0.237,15,56,1.2,102,0.285
Chris Taylor,2024,33,0.202,4,23,-0.6,73,0.321
Chris Taylor,2025,34,0.194,1,6,-0.1,57,0.25
Starling Marte,2023,34,0.248,5,28,-0.3,75,0.27
Starling Marte,2024,35,0.269,7,40,0.6,104,0.263
Starling Marte,2025,36,0.287,4,21,0.7,127,0.308
Trent Grisham,2023,26,0.198,13,50,1.7,89,0.3
Trent Grisham,2024,27,0.19,9,31,0.5,92,0.304
Trent Grisham,2025,28,0.247,18,40,2.0,128,0.35700000000000004
Andrew McCutchen,2023,36,0.256,12,43,1.3,114,0.31
Andrew McCutchen,2024,37,0.232,20,50,0.5,105,0.341
Andrew McCutchen,2025,38,0.244,10,34,0.0,95,0.35100000000000003
Hunter Renfroe,2023,31,0.233,20,60,0.5,93,0.322
Hunter Renfroe,2024,32,0.229,15,52,0.1,93,0.305
Hunter Renfroe,2025,33,0.182,0,4,-0.9,31,0.342
Max Kepler,2023,30,0.26,24,66,2.7,122,0.37799999999999995
Max Kepler,2024,31,0.253,8,42,1.0,93,0.299
Max Kepler,2025,32,0.203,11,33,0.1,81,0.371
Lane Thomas,2023,27,0.268,28,86,2.9,109,0.353
Lane Thomas,2024,28,0.237,15,63,1.4,99,0.335
Lane Thomas,2025,29,0.16,4,11,-0.5,47,0.313
Willi Castro,2023,26,0.257,9,34,2.5,107,0.311
Willi Castro,2024,27,0.247,12,60,3.0,107,0.312
Willi Castro,2025,28,0.245,10,27,1.1,109,0.306
Jesse Winker,2023,29,0.199,1,23,-0.8,67,0.31
Jesse Winker,2024,30,0.253,14,58,1.4,118,0.31
Jesse Winker,2025,31,0.229,1,10,-0.1,97,0.275
Austin Hays,2023,27,0.275,16,67,2.6,110,0.35700000000000004
Austin Hays,2024,28,0.255,5,20,0.1,96,0.358
Austin Hays,2025,29,0.276,10,42,1.2,121,0.327
Randal Grichuk,2023,31,0.267,16,44,0.6,102,0.385
Randal Grichuk,2024,32,0.291,12,46,1.6,139,0.395
Randal Grichuk,2025,33,0.239,8,23,0.0,97,0.42
Austin Slater,2023,30,0.27,5,20,0.7,109,0.307
Austin Slater,2024,31,0.209,2,18,-0.2,76,0.298
Austin Slater,2025,32,0.228,5,12,0.2,93,0.35200000000000004
Mike Tauchman,2023,32,0.252,8,48,1.7,108,0.294
Mike Tauchman,2024,33,0.248,7,29,1.1,110,0.297
Mike Tauchman,2025,34,0.291,7,29,1.4,136,0.29
Dylan Carlson,2023,24,0.219,5,27,0.1,83,0.306
Dylan Carlson,2024,25,0.209,3,25,-1.1,67,0.258
Dylan Carlson,2025,26,0.222,4,15,-0.4,70,0.25
Harrison Bader,2023,29,0.232,7,40,0.9,69,0.294
Harrison Bader,2024,30,0.236,12,51,1.3,85,0.265
Harrison Bader,2025,31,0.258,12,38,2.1,117,0.32299999999999995
Tommy Pham,2023,35,0.256,16,68,1.9,110,0.42
Tommy Pham,2024,36,0.248,9,39,-0.1,91,0.319
Tommy Pham,2025,37,0.273,4,29,0.4,101,0.326
Jason Heyward,2023,33,0.269,15,40,2.2,119,0.33
Jason Heyward,2024,34,0.211,10,37,0.8,93,0.258
Jason Heyward,2025,35,0.176,2,12,-0.5,38,0.25
Alex Verdugo,2023,27,0.264,13,54,1.5,99,0.35200000000000004
Alex Verdugo,2024,28,0.233,13,61,0.6,84,0.314
Alex Verdugo,2025,29,0.239,0,12,-0.9,67,0.289
Marcell Ozuna,2023,32,0.274,40,100,3.2,140,0.415
Marcell Ozuna,2024,33,0.302,39,104,4.7,155,0.4
Marcell Ozuna,2025,34,0.235,15,48,1.1,119,0.353
Joc Pederson,2023,31,0.235,15,51,0.8,110,0.419
Joc Pederson,2024,32,0.275,23,64,3.0,151,0.376
Joc Pederson,2025,33,0.12,2,6,-1.0,41,0.27699999999999997
